<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.06.20	62325	62633	61943	62173	187376	505455	0
2016.06.21	62137	62668	61213	62618	211491	557289	0
2016.06.22	62990	63159	61594	61594	240566	642065	0
2016.06.23	62591	64090	62090	64090	231172	607286	0
2016.06.24	60596	62022	60371	61287	258235	650293	0
2016.06.27	60946	61651	60216	60351	233985	572426	0
2016.06.28	61424	61909	61104	61719	213316	547314	0
2016.06.29	62295	62995	62130	62960	180812	467868	0
2016.06.30	62773	63417	62107	63092	215233	562470	0
2016.07.01	63359	64295	63165	64105	191167	493946	0
2016.07.04	64533	64969	64264	64559	112257	309532	0
2016.07.05	63885	64093	63193	63588	196083	511432	0
2016.07.06	63057	63874	62304	63859	225823	574121	0
2016.07.07	63994	64643	63618	63868	270393	673670	0
2016.07.08	64345	65255	64170	65160	180441	493926	0
2016.07.11	65258	66243	65252	65988	162823	453771	0
2016.07.12	66643	67036	66096	66251	202551	580767	0
2016.07.13	66334	66883	65663	66883	232111	623910	0
2016.07.14	67678	68042	67267	67557	226075	611107	0
2016.07.15	67423	67969	67329	67434	192314	516986	0
2016.07.18	67653	69370	67600	69370	181764	523488	0
2016.07.19	68880	69473	68603	69473	205189	563382	0
2016.07.20	69431	69616	68666	68996	227712	624481	0
2016.07.21	68953	69423	68548	69253	236558	641034	0
2016.07.22	69304	69762	68952	69467	185997	521494	0
2016.07.25	69376	69694	68749	69334	199897	557162	0
2016.07.26	69642	69848	69128	69298	200676	564011	0
2016.07.27	69534	69846	69051	69156	194388	554045	0
2016.07.28	68820	69109	68144	69109	215996	613583	0
2016.07.29	68880	69915	68525	69915	214702	602346	0
2016.08.01	69618	70112	68922	69032	202783	564628	0
2016.08.02	68778	69235	67710	68280	257016	740532	0
2016.08.03	68155	69441	67761	69441	243340	679936	0
2016.08.04	69612	70517	69357	69942	251749	717737	0
2016.08.05	70017	70393	69548	69983	222815	625294	0
2016.08.08	70072	70280	69595	70015	177881	523830	0
2016.08.09	70114	70467	69877	70047	181085	519984	0
2016.08.10	70053	70240	68715	68735	222175	650888	0
2016.08.11	68995	70816	68956	70816	217434	634205	0
2016.08.12	70701	71120	70140	70315	239450	653172	0
2016.08.15	70513	71789	70509	71364	200925	577207	0
2016.08.16	71215	71573	70893	70903	235372	640604	0
2016.08.17	70699	71871	70201	71871	236404	640543	0
